Company / Client Name,Region,Industry Name,Service Name,Case Study Title,One-Line Summary / Core Focus,Business Context,Solution,Business Impact & Key Metrics,Tech Stack
VMs to Kubernetes for a Leading CI Platform,AMER,"Retail, CPG & E-commerce (RCE)",Infra Modernization,VMs to Kubernetes for a Leading CI Platform,"Went from VM based architecture to container based on GKE. Implemented CI/CD. Reduced costs, improved performance","Went from VM based architecture to container based on GKE. Implemented CI/CD. Reduced costs, improved performance","Incurring high cost on AWS infrastructure. Application management was not straightforward. Multiple applications deployed on varying services, but all on EC2 instances. High operational overhead for maintaining the environment. Recommended modernising infrastructure to adopt container native approach with GKE Migrated high operational workload of Ceph Storage to GKE under Rook operator to reduce operational overhead. Implemented CI/CD pipelines for all applications to reduce deployment efforts Migrated Spark workload to Dataproc, and leveraged autoscaling via PVM to control costs","Reduction in cost compared to AWS counterpart Faster build and deploy time for all applications Simpler management of Ceph Storage under Rook operator on GKE Cost effective scaling of Spark workload depending on the load present R,C, & E I Infra Mod",
Scalability and Security for High Volume E,AMER,"Retail, CPG & E-commerce (RCE)",Infra Modernization,Scalability and Security for High Volume E-Com,"Leverage GKE, CloudSQL, CloudBuild for managed & scalable infra and secure site from attackers using Cloud Armor","Leverage GKE, CloudSQL, CloudBuild for managed & scalable infra and secure site from attackers using Cloud Armor","Dockerize and host the Magento E-commerce store application code into Google Kubernetes Engine. Handling millions of requests of sellers and buyers on the website Security enhancement as its E-commerce website. Scaling the application as per increased user load on the website Deployed GKE to host the main website application and auto scaling is enabled on both node and pod level Cloud Armor policy implemented to protect website from attackers Cloud SQL, Filestore and Memorystore (redis) are used as storage Cloud build used for CI-CD based deployment of Application","High Availability of the website to users spread across globe Low latency product upload to website for sellers Secure website from online attackers R,C, & E I Infra Mod",
GCP. Moladin has their own Data Team which,APAC,"Retail, CPG & E-commerce (RCE)",Infra Modernization,AWS to GCP Migration Support,Searce assisted Moladin to migrate their existing workloads from AWS to GCP in 1 month timeline,"Moladin need to migrates all their workloads (3 environments, 20 VPC, 40 Load Balancers, 20 Kubernetes Clusters, 710 microservices, 52 DB instances, 46 S3 Buckets) from AWS to GCP. Moladin has their own Data Team which is eager to learn about BigQuery and how to optimize it in practice.",Searce conducted a Technical Onboarding Center (ToC) for Moladin Engineering Team on GCP foundation best practices and use cases. Searce created Terraform scripts for Organization Policies and Cloud Armor Policies deployment. Searce assisted Moladin to setup Cloud Logging and Cloud Monitoring. Searce assisted Moladin by creating a script template to migrate AWS S3 bucket to GCS (Google Cloud Storage). Searce conducted BigQuery workshop for Moladin Data Team.,"Platform GCP Terraform Cloud Armor R,C, & E I Infra Mod Tech Stack Cloud Logging Cloud Storage BigQuery Monitoring Transfer Service Non-","Cloud Logging, BigQuery, Service"
Bailey Nelson,APAC,"Retail, CPG & E-commerce (RCE)",Data & Analytics,Data Warehouse & Data led Insights on BigQuery,Consolidating multi-channel advertising and ecommerce data into a centralized repository.,"Bailey Nelson had a roadmap for developing intuitive Looker dashboards with specific business based KPIs. Centralised data platform for business reporting based on diverse data sources on AWS, Google Ads & Facebook Ads, etc. Build modernized and cost effective data warehouse on Google Cloud Platform.",Migrated 800GB of data from Amazon S3 buckets to 20+ tables in BigQuery using BQ data transfer service. Integrated Google and Facebook Ads to BigQuery using BQ data transfer service and sync the data in the desired frequency. Integrated Looker with BigQuery and built insightful visualizations on the dashboard for the business KPIs as requested.,"Bailey Nelson was able to identify customers who use to browse there website & this resulted in turning them into Buying customers. Few key insights on: Marketing Campaign, ROI and there brand awareness. Demographics analysis of the Bailey Nelson stores so as to understand in-store performance.","BigQuery, Cloud Functions, Looker, Amazon S3"
Bizzy,APAC,"Retail, CPG & E-commerce (RCE)",Data & Analytics,Building an Enterprise Data lake for Bizzy,Centralized enterprise data lake solution for behavioral analytics.,Want to offer customer insights gathered from sales patterns and consumption trends to uncover potential sales opportunities. Existing data infrastructure could not cope with the growing demands and fast-paced nature of the business. Unable to get real-time view on product movement and sales.,"Built an Enterprise Data Lake which had a central repository of data identified from multiple sources in its raw format. Migrate legacy systems and build automated data pipelines to store customer data. Performs batch and real time analytics, predictive and prescriptive analytics.",Increased speed of data streaming by 25%. Improved business decision-making with data-driven insights. Higher speed to market.,Enterprise Data Lake framework
Real-time Insights Into Customer,India,"Retail, CPG & E-commerce (RCE)",Data & Analytics,Data Lake and Recommendation Engine,"Data Lake Solution and Recommendations Engine for Actionable, Real-time Insights Into Customer's Behavior","Data sources are ClickStream data, Relational Data and Log data in the infrastructure on which they wanted to implement a data lake and recommendation engine. Enhance its BI capabilities, For cost-effectiveness and scalability on the way to store and analyze its data. Leading to move its analytical data to the cloud for easier scalability Perform ETL on all their unstructured and semi-structured data Implement a recommendation engine that would help the customers/visitors to make a better decision while purchasing",Built a Data Lake that collected real-time data from the existing data sources and used AWS Glue which performed ETL on the collected data Trained the transformed data using Sagemaker which provided recommendations to the customer as per the browsing and purchasing history,"Created a central repository for all of the data sources The recommendation engine presented users with choices regarding items from their list of available items. It lead to greater customer satisfaction, higher retention of existing customers, and lower advertising costs. R, C, & E | Data & Analytics",
Centralized Data Warehouse and Reporting,India,"Retail, CPG & E-commerce (RCE)",Data & Analytics,Centralized Data Warehouse and Reporting,Built Data Warehouse and generate real-time insights using Quicksight.,"Real-time Clickstream data into Redshift after performing multiple transformations and filtering. Floweraura team did not have real-time replication and analytics. Google Analytics data shows ad-cost analysis on day basis, capture hourly ad-cost data Inability to get insights from the data that was being captured through various sources.","Built AWS Kinesis Firehose to get data from DynamoDB into Redshift so that the data can be merged with other data sources and generate actionable insights. Implemented AWS DMS for CDC replication for the near real-time reporting. To understand the ad cost to acquire a customer, developed python scripts to capture hourly ad cost data and insert into Redshift Data models and 10 dashboards in Quicksight to enable near real-time data and analytics","Better decision making and real-time insights based on the reports in QuickSight. Centralized data warehouse and reporting framework in Redshift where various data sources were merged. Redshift clusters offer flexibility and scalability as required depending on the peak and slack business periods.. R, C, & E | Data & Analytics",
Food Ordering App,APAC,"Retail, CPG & E-commerce (RCE)",Data & Analytics,Faster Analytics with BQ for Food Ordering App,Ingesting high-velocity food delivery metrics into a scalable serverless data warehouse.,"The reporting was happening through RDS, which was not really meant for analytical reporting purpose. Needed a data warehouse which could properly scale and the query execution time should be as low as possible.",Set Up near real time replication for the RDS data to BigQuery. Enabling BigQuery for reporting and other analytical requirements. Reconfiguring of some of the existing BI queries to reduce the execution time.,The BI reports could fetch data coming in realtime from delivery centers now. The query execution time was reduced to 5s.,"BigQuery, Amazon RDS"
Analytics Platform,AMER,"Retail, CPG & E-commerce (RCE)",Data & Analytics,High Volume Data Streaming for Analytics Platform,Deploying a real-time streaming pipeline to process 1 billion user click events daily.,"On peak times, processing approx. 1 billion Kafka messages on AWS. Expected latency for streaming jobs to fetch data and write to ceph was 60 sec. Click events stored on Kafka from various JS code and consumed by the Spark Streaming jobs. Spark streaming jobs fetch data from Kafka and writes data to Ceph.","Deployed Spark Streaming jobs on Dataproc. Deployed CMAK(Kafka manager) for monitoring lag and data replication. Ceph migration from EC2 to GKE using rook operators. MySQL continuous replication from AWS RDS to GCP Cloud SQL. Optimized Dataproc clusters to have balanced on-demand and preemptible instances to save cost. Developed automation script to scale-up & scale-down Dataproc cluster based on Kafka backlog. Slack integration to start/terminate Dataproc, add/remove nodes in clusters etc. Implementing CI/CD for the spark streaming job using Cloud Build (Building the code and creating the Jars pushing the Jars to GCS, Submit the job using Dataproc Jobs).","Optimising Dataproc clusters to have balanced on-demand and preemptible instances to save cost. Developed automation script to scale-up & scale-down Dataproc cluster based on Kafka backlog. Slack integration to start/terminate Dataproc, add/remove nodes in clusters etc. Implementing CI/CD for the spark streaming job using Cloud Build.","Dataproc, GKE, Rook Operator, Kafka, Cloud Build, Cloud SQL, Ceph Storage"
Google Cloud Product Genius,AMER,"Retail, CPG & E-commerce (RCE)",Cloud Modernization,Google Cloud Services Implementation,Provided consultation on infra and Data services offered in Google Cloud,"Product Genius is an Ecormarce based organization which sells the product online to their US and Asia based customers, which currently operates on AWS Cloud. The product genius team was looking for a successful Google Cloud implementation of their new application end-to-end. In cooperation with the Client, Searce will provide the following services.","Implementing the designed solution to migrate the current non-prod environment and its related resources from AWS to Google Cloud as a part of future roadmap. As a part of the designed solution, Searce Team assisted Product Genius Team on security and operational best practices to be met on Google Cloud. Searce Team assisted Product Genius Team with IaC standards using Terraform for infra deployments","Product Genius Team benefited from a secure, scalable Google Cloud infrastructure deployed as per best practices, enabling a reliable foundation. Product Genius Team's deployments were automated via Terraform, reducing manual effort and accelerating the development lifecycle. Product Genius Team leveraged a CI/CD pipeline with GitHub Actions and ArgoCD, for seamless and efficient application delivery. Retail, CPG & E-commerce | Cloud Modernization","Compute Kubernetes Cloud Engine Engine Armor, Cloud CDN, Cloud VPN"
Moglix,APAC,"Retail, CPG & E-commerce (RCE)",Cloud Modernization,DR Setup in AWS Environment,Containerizing monolithic application to microservices on Amazon EKS for DR.,"Moglix’s monolithic application struggled with scalability and slow deployment cycles. High operational overhead due to tightly coupled architecture. ELK stack for logging was running on EC2 instances, causing maintenance challenges. Searce modernized the app by moving to microservices on Amazon EKS.",Transformed Moglix’s monolithic application into containerized microservices on Amazon EKS. Created EKS cluster using auto mode and Deploy Applications. Enhanced application availability by setting up DR. Reduced infrastructure management overhead and improved resource utilization.,"Using AWS, the client achieved improved scalability and reliability with EKS-managed microservices. S3 provided durable, cost-effective storage, while RDS ensured high-performance, managed databases. CloudWatch and ELK enhanced monitoring and troubleshooting. Overall, AWS enabled faster deployments, reduced operational overhead, and optimized costs through autoscaling and resource management.","Elastic Kubernetes Service, EC2, RDS, Simple Storage Service, IAM, ELK Stack"
Better Scaling for E,AMER,"Retail, CPG & E-commerce (RCE)",Infra Modernization,Better Scaling for E-Com Management Client,Containerizing monolithic app and leveraging managed DB and automated CI/CD for better scalability and cost savings,Running RoR applications on over provisioned VMs PostgreSQL database reaching limitation in terms of resources (CPU & Memory) No scaling for application under any kind of load,Recommended containerizing applications (singular Ruby processes) instead of deploying them as a monolith on an over provisioned VM Migrate database to CloudSQL PostgreSQL to support the increased demand for resources Implemented preemptible node pools for multiple applications to save cost and support on scaling Created an automated CI/CD pipeline for all containerized applications,"Reduced cost upto 20% with right sized containers and preemptible node pools Faster time to deployment Scaling and deployment for individual applications instead of monolith R,C, & E I Infra Mod",
Moglix,APAC,"Retail, CPG & E-commerce (RCE)",Cloud Modernization,Modernizing Monolith Apps to Microservices,Monolith modernization to EKS microservices with Karpenter autoscaling.,"Moglix’s monolithic application struggled with scalability and slow deployment cycles. High operational overhead due to tightly coupled architecture. ELK stack for logging was running on EC2 instances, causing maintenance challenges.","Transformed Moglix’s monolithic application into containerized microservices on Amazon EKS. Implemented Karpenter to enable dynamic and efficient auto-scaling based on workload demand. Containerized the existing ELK stack for improved logging, monitoring, and easier maintenance. Enhanced application scalability, performance, and operational efficiency.","Using AWS, the client achieved improved scalability and reliability with EKS-managed microservices. S3 provided durable, cost-effective storage, while RDS ensured high-performance, managed databases. CloudWatch and ELK enhanced monitoring and troubleshooting.","Elastic Kubernetes Service, EC2, RDS, Simple Storage Service, IAM, Karpenter, ELK Stack"
Mamearth,APAC,"Retail, CPG & E-commerce (RCE)",Data & Analytics,Modernizing Data Pipeline for E-Com Client,Unicommerce API custom orchestration to BQ via Cloud Composer.,The 3rd party tool that extracted data from various data source had limitations and didn’t provide in-depth control/customization on data-pipelines. Mamearth team wanted more control on data-pipelines and extract data from Unicommerce API and load it into BigQuery on GCP using Cloud Composer. Enable real-time analytics and decision-making on data available in BigQuery. Monitoring and Alerting for the ETL jobs.,Airflow DAGs that extracted data from Unicommerce API and loaded it to BigQuery staging tables keeping in consideration different sync frequencies and sync types (write truncate or upsert) using Cloud Composer. Stored Procedures were developed to handle the data transformations and load into BigQuery target tables. Monitoring and Alerting policies were setup in order to notify the pipeline failures.,More control on data-pipelines. Centralized data in Cloud. Real-time analytics and quick decision making. Optimization and operational efficiency.,"Cloud Composer, BigQuery Staging/Target, Stored Procedures, Airflow"
iPrice,APAC,"Retail, CPG & E-commerce (RCE)",Data & Analytics,Faster Data Processing for Shopping Aggregator,"Leverage Dataproc + BQ for data faster data processing, reducing time to half",Price used the data from Google Merchant Center and pushed it to AWS for churning and generating pipeline. This resulted in slow processing layer and additional egress cost.,Searce was able to showcase performance benefits of running the data pipeline on BigQuery + Dataproc set-up. Searce helped deploy their existing data sources on GCP and optimize their transformation scripts to process the same using Dataproc and BigQuery.,"Searce helped iPrice reduce the Data processing time from 3 hours to 1.5 hours This resulted in faster generation of offers on their website R, C, & E | Data & Analytics",
Floweraura,APAC,"Retail, CPG & E-commerce (RCE)",Data & Analytics,Data led Decision Making for Retail Startup,Centralization of real-time clickstream and transactional tables into an analytical warehouse.,"Inability to get insights from the data that was being captured through various sources. Floweraura team did not have real-time replication and analytics. Google Analytics data shows ad-cost analysis on day basis, capture hourly ad-cost data.","Built AWS Kinesis Firehose to get data from DynamoDB into Redshift so that the data can be merged with other data sources and generate actionable insights. Implemented AWS DMS for CDC replication for the near real-time reporting. To understand the ad cost to acquire a customer, developed python scripts to capture hourly ad cost data and insert into Redshift. Data models and 10 dashboards in Quicksight to enable near real-time data and analytics.",Better decision making and real-time insights based on the reports in QuickSight. Centralized data warehouse and reporting framework in Redshift where various data sources were merged. Redshift clusters offer flexibility and scalability as required depending on the peak and slack business periods.,"Redshift, Quicksight, DynamoDb, AWS Glue/Kinesis, Sagemaker, AWS S3, Python"
There,APAC,"Retail, CPG & E-commerce (RCE)",Cloud Modernization,Modern Data Warehouse on Google Cloud,"Searce team built a centralized Google Cloud BigQuery data warehouse for eXtra, migrating siloed data from Oracle systems and cloud apps to enhance analytics. Middle East","eXtra team operated with siloed data across multiple systems (Oracle RMS, Siebel CRM, POS, DWH, and cloud apps). This fragmentation caused limited data integration and delayed actionable insights. There was no unified cloud-based platform to support advanced analytics, centralized governance or their rapidly expanding business requirements","Searce team deployed a secure Google Cloud Landing Zone and a centralized BigQuery Data Warehouse, utilizing Datastream and Dataflow to unify historical and incremental data from Oracle RMS, Siebel, POS, diverse APIs, and CSVs. This architecture automated complex ingestion processes via Cloud Functions and Workflows, ensuring a consistent and robust pipeline for enterprise analytics.","The solution dismantled silos by consolidating multi datasets (over 350 tables) into a single BigQuery Data Warehouse. This highly available architecture provided eXtra team with accelerated analytics, automated ingestion, centralized governance using Dataplex and a robust foundation for modern data-driven decision-making and operational efficiency. Cloud Build Cloud Dataflow Datastream BigQuery Storage Consumer Electronics Retail | Practice SBU - To be Discarded",
implementation and deployment of the Search API,AMER,Other Industries,Cloud Modernization,implementation and deployment of the Search API,Swimply Increases User Satisfaction By 90% with Searce's GenAI-Powered Search,"Swimply's keyword-based search struggled to understand user intent, especially regarding visual aspects This led to a poor user experience and missed booking opportunities","Converted property data and images provided into a unified textual and visual representation using Vertex Embeddings API, enriching search experience Retrieved the most relevant listings using Vertex Vector Search Ensured scalability through Cloud Run and integration to existing systems via a user-friendly REST API","GenAI-powered search engine cut search response times in half from 300 ms to 150 ms Advanced filtering results, ranking properties based on user preferences. This translated to a 250% increase in booking conversions, from 10% to 35% Increased user satisfaction by 90%","Vertex AI, Cloud Storage, Cloud Run"
Flipkart,APAC,"Retail, CPG & E-commerce (RCE)",Applied AI,Speech to text solution leveraging Gemini,Building an in-house multilingual Speech-to-Text engine using Gemini Flash.,"Flipkart needed a robust, self-owned Speech-to-Text (STT) solution to replace their third-party vendor, Convin. The goal was to process customer support calls for their Incident Management System (IMS) with high accuracy across English and 7 Indian languages, while reducing costs and enabling advanced analytics like anxiety scoring.","We developed a highly scalable, containerized STT service using Java (Dropwizard) and Google's Gemini models (Flash 2.0/2.5). The solution features a smart Silence Removal preprocessing pipeline to reduce costs and errors. It integrates seamlessly with Flipkart's IMS via a robust Primary + Fallback model strategy ensuring high availability and accuracy for 7+ languages.","We successfully replaced the external vendor solution with a cost-efficient, in-house STT engine. The solution achieved ~93% transcription confidence across 7 languages and reduced operational costs by 28% through intelligent token optimization. It enabled new capabilities like Anxiety Scoring (96% confidence) to improve customer service insights.","Kubernetes Engine, Cloud Storage, Data Loss Prevention API"
Integration with BigQuery,APAC,"Retail, CPG & E-commerce (RCE)",Applied AI,Generative AI,Developed an image extraction using Gemini 1.5 Pro,"Manual extraction of product and price tags data from image is error-prone. Automating using Gemini 1.5 Pro with image processing enhances accuracy and operational efficiency. Integration with BigQuery provides scalable, insightful data management solutions. infilect.com APAC",Images are processed with sharpening techniques to enhance clarity. A coordinate JSON file guides the extraction of relevant image regions. Cropped images are arranged in a matrix fashion and labeled sequentially. The matrix image is analyzed by Gemini 1.5 Pro for information extraction. Extracted data is mapped with key of labeled crops and stored in BigQuery.,"Reduces inaccuracies in product and pricing data extraction, ensuring reliable information. Automates data processing, cutting down the time required significantly. Provides a reusable solution for diverse image data extraction needs, with easy customization. Retail | Applied AI","Cloud Run, Vertex AI, BigQuery"
Object detection & segmentation,AMER,"Retail, CPG & E-commerce (RCE)",Applied AI,Object detection & segmentation,"Developed a custom model to segment object & background to perform transformations such as scaling, centralization & resizing","Verishop receives multiple product images from different vendors which does not adhere to Verishop standards and acceptance criteria. They were using Pixelz to treat the images. Pixelz uses mix of ML models and manual work for transformations including scaling, background removal, centralization. The semi-manual process takes around 18 hours to process 2000 images and costs them around $4000.","Built a fully autonomous ML model to segment object and background, targeting to completely avoid manual work. Wrote intelligent logics to centralize the object, perform boundary elimination to rescale the image, preserving the original aspect ratio of the object, apply shadow with customizations, apply custom background. Deployed a scalable service on Cloud Run which takes the image batch and applies all the transformations.","High scalability and reduction of manual work. Low Latency. Time taken to process a batch of 10000 images is in the range of 10-20 minutes. Usage cost reduced by 95%. Vertex AI Cloud SQL R, C, & E | Applied AI Cloud Run Cloud Functions",Deployed a scalable service on Cloud Run which takes the image batch and applies all the transformations.
Detecting packages of food in refrigerators,APAC,"Retail, CPG & E-commerce (RCE)",Applied AI,Detecting packages of food in refrigerators,Developed a object detection model to classify food packages stored in refrigerators,Client wants to build an object detection model using GCP's AUTO ML for detecting and classifying custom food packages stored in their refrigerators.,Converting the annotations in required format for AUTO ML and trained a model on 24 food categories. Deployment of the model and a bucket trigger via cloud function to store the response as json in GCS.,"An automated pipeline to get predictions as batches. Scalable system to integrate more categories. Cloud Functions AutoML R, C, & E | Applied AI Non -",
Udaan's objective,APAC,"Retail, CPG & E-commerce (RCE)",Applied AI,Agent behaviour analysis,Perform customer and agent sentiment analysis along with issue type tagging using AutoML NLP to improve customer experience,Udaan's objective is to improve customer support helpdesk performance - Agent Behavioral Analysis- Identifying misbehaviour on the part of the agent Issue Type Tagging- Checking whether the issue was tagged correctly by the agent Customer and Agent Satisfaction: Understanding if the customer was happy/ unhappy/ neutral about the interaction ((last 50% of call),Analysing the agent's behavior during calls includes identifying and quantifying - Dead air time (start and end timestamp) Slow speech (sentence level - channel wise) Profanity (>1 - red flag for both agent and customer) Use of empathy words (check for empathy words used by agents only when there's a negative sentiment from customer side) Interjections when the agent is interrupting customer (start and end timestamp),"Successfully transcribed recordings using Google SST & analysed them using AutoML NLP to detect the profanity, empathy words, dead-air, speech rate of agents as well as customer and agent sentiment analysis. R, C, & E | Applied AI Non -",Cloud Natural Language API
Use GMP to accurately identify provider,APAC,"Retail, CPG & E-commerce (RCE)",Location Intelligence,Optimizing Delivery for Online Grocery App,Use GMP to accurately identify provider's location and accurately forecast optimized delivery time,"Required data-rich, accurate mapping technology and scalable visualization platform Identify potential grocery provider's location to optimize the delivery & batching algorithm Reduce in-accuracy of forecast time to save overall delivery cost",Assisted with utilizing sub-localities for accurate identification of nearby available grocery marts Consulted on the APIs to be used across their mobile applications and websites Helped optimize the usage on Google Maps Platform,"Customers can accurately pinpoint their location in a map through functionality made available through the Places API and Geocoding API, in conjunction with the JavaScript API. Drivers use the Directions API to identify the quickest route to customers.",Directions API Geocoding API Roads API Autocomplete API
Optimizing Grocery Delivery for Fresh VNF,APAC,"Retail, CPG & E-commerce (RCE)",Location Intelligence,Optimizing Grocery Delivery for Fresh VNF,Use GMP to accurately calculate travel distance and manage delivery,"Effectively manage the delivery of veggies , fruits, herbs , dairy products , etc. To calculate distance between shoppers and warehouse.","Assisted in devising a solution with a combination of multiple APIs wherein they were able to effectively conduct business and visualise locations on the maps, thus making deliveries smoother","Faster and smoother deliveries Better visualization R, C, & E | Location Intelligence",
Accurate Location Finding for Electronics Giant,APAC,"Retail, CPG & E-commerce (RCE)",Location Intelligence,Accurate Location Finding for Electronics Giant,"Use GMP to accurately pinpoint customer location, find nearby stores and book orders","Required data-rich, accurate mapping technology and scalable visualization platform for a e-commerce portal Help customers identify nearby stores to their location and display the inventory available in that stores. Place orders via portal after identifying the nearby stores.",Assisted with identifying customer addresses using Places autocomplete API can Geocoding API Helped optimize the usage on Google Maps Platform by suggesting correct APIs for their use-cases Suggested UI/UX changes to get the best of Google Maps Platform,"Customers can accurately pinpoint their location in a map through functionality made available through the Places API and Geocoding API, in conjunction with the JavaScript API to find nearby stores UI changes lead to reduction in Geocoding API requests by 20%",Directions API Geocoding API Places API Distance matrix API
Enhancement and Support for Applications,APAC,"Retail, CPG & E-commerce (RCE)",Software Engineering,Enhancement and Support for Applications,Titan Esparsh support and enhancement,Enhancement items Reachout module Support user queries and bug fixing,Computation breakup module enhancement done Entire reachout module converted from app script to esparsh app Enhancement items fixes Reduced manual interventions over the application,"Automated scripts to take care of manual workaround Reduced the support tickets from end Users through enhancements R, C, & E | Software Engineering",JavaScript
Migration of AWS infra & workload to GCP,AMER,"Healthcare, Pharma & Life Sciences (HPL)",Infra Modernization,Migration of AWS infra & workload to GCP,"Deployment to depict the AWS infra setup to GCP.deploy the apps using GCE,NEGs and Load Balancers. PostgreSQL and MySQL DB from EC2 to GCE on GCP.",Automate Infrastructure deployment for multiple environments Migration of AWS databases to GCP PostgreSQL and MySQL Setting up NEGs for multiple groups of GCE VMs Exploring connectivity cross projects through VPC peering,Authored and deployed the infrastructure using terraform scripts Restoring AWS database dumps to GCP PostgreSQL/MySQL and setting replication Setting up Load Balancer multiple multiple host based routing to backend NEGs,"Infrastructure deployment of multiple environments using the Infrastructure as a Code tool (IaC) Terraform aids in faster deployment, reducing manual intervention and reducing the margin of error for deploying the infrastructure Taking the backup of streaming replication from the AWS source side using PG_base backup to perform cross-platform data replication with ease in switch during cutover",
Tendable,EMEA,"Healthcare, Pharma & Life Sciences (HPL)",Cloud Modernization,Infrastructure Modernization on Google Cloud,AWS to GCP migration for 7 distinct app environments.,Searce worked to migrate Tendable’s existing AWS workload onto Google Cloud. Searce worked to improve the efficiency of their processes.,"Successfully built and deployed google infrastructure for staging, performance and shared services as well as prod environments across 4 regions. Successfully optimised build and deployment features using Google Cloud services. Successfully completed migration of all applications and services from AWS to Google Cloud.","Successfully reduced build time of new releases by almost 77%. Reduced DB sizes by ~70% by defragmenting the databases. Provided the client with Google infrastructure; Cloud Run, Cloud Armor, SCC, and other services; application migration for 7 different environments as per best practices; and helped optimize their existing processes.","Compute Engine, Cloud Storage, IAM, Cloud Run, Cloud Build, Security Command Center"
Amwell,AMER,"Healthcare, Pharma & Life Sciences (HPL)",Cloud Modernization,AWS to Google Cloud migration | AI POC's | UI/UX Audit,SilverCloud platform AWS to GCP multi-cloud migration with Vertex AI search.,Amwell wanted to achieve a multi-cloud environment and evaluate AI/ML technologies. Amwell wanted to improve patient retention and engagement rates. To enhance coach efficiency and provide patient personalization. To enhance platform navigation and design for AI integrations.,Conducted an AWS to Google Cloud migration for Amwell. Implemented an AI onboarding assistant and introduced a vertex AI based contextual search for the patients. Built a Coach prompting tool which will suggest and recommend modules to Coach. Searce did an exhaustive UI/UX audit.,"Accelerated cloud migration, enabling faster validation cycles and smoother production readiness. Maintained infrastructure consistency by extending Terraform with a familiar code structure for client integration. Enhanced user experience with AI-powered conversational and search features. Strengthened client confidence via proactive support, thorough documentation, and cost-effective modernization.","Kubernetes Engine, Secret Manager, Memory store, Logging, Monitoring, Vertex AI"
Quadrivia,Europe,"Healthcare, Pharma & Life Sciences (HPL)",Cloud Modernization,AWS to Google Cloud Migration & CI/CD Modernization,GKE migration and GitOps argoCD setup for clinical AI assistant.,"Quadrivia's AI-powered clinical assistant, Qu, addresses the global healthcare professional shortage by improving care quality and accessibility. The AWS to Google Cloud migration project aims to provide a secure, highly available cloud infrastructure with lower latencies to support these critical operations.","Transformed infrastructure using Terraform and OPA for policy validation. Migrated workloads to GKE for improved scalability, simplifying secrets with Google Secret Manager instead of Vault. Deployed services using Helm and ArgoCD for GitOps. Ensured security with Cloud Armor and Security Command Center Enterprise, and utilized CloudSQL for managed databases.","The Google Cloud platform provided Quadrivia a secure, highly available, disaster-resilient foundation for its AI clinical assistant. It enabled modernized CI/CD (GitOps) and enhanced security post-AWS migration.","Compute Engine, Kubernetes Engine, Cloud NAT, Cloud Routers, Cloud Storage, Cloud Armor, Secret Manager, Helm, ArgoCD, Cloud SQL, Terraform"
Azure to Google Cloud,AMER,"Healthcare, Pharma & Life Sciences (HPL)",Cloud Modernization,Azure to Google Cloud - 2 projects,Implementation of CI/CD for both Internal and External projects will be handled using Cloud Build,Move away from Azure to Google Cloud best practices Connectivity across the infrastructure with security measures Deployment scripts for Terraform are in place for repetitive deployments for setting up multiple environments,"Establish a Google Cloud Foundation Landing Zone Migrate the setup, consisting of 2 different projects Connectivity across the infrastructure with security measures Terraform will be used for IaC to create scripts for repetitive deployments to set up multiple environments","Competitive pricing and flexible billing options Confidentiality, integrity, and availability of sensitive data Low-latency delivery of videos to users worldwide. This results in faster video loading times and smoother playback experiences compared to Azure","Cloud Storage, Kubernetes Engine, Cloud Armor"
Health Assure,APAC,"Healthcare, Pharma & Life Sciences (HPL)",Cloud Modernization,AWS Migration and Re-architecture for Scalability,DC (Yotta) to AWS multi-AZ migration and CI/CD setup.,Health assure had multiple issues with the application availability and user retention due to unavailability on the Yotta Data center. Health assure wanted a cost effective and stable cloud environment to migrate their windows and linux workloads.,"Searce team setup Landing Zone architecture and separated all of their applications into accounts for security. Implemented security features like AWS WAF, Network Firewall, KMS, ACM, Guard Duty, Security Hub. Created the layer wise architecture for security and High Availability(3-tier). Deployed resources in Multi-AZ. Used Auto scaling for cost efficiency for workloads and Fault Tolerance environment.","With AWS Landing Zone architecture, Health Assure workloads are secured and isolated. The migration from Yotta DC to AWS provided Health Assure with a scalable, efficient, and cost-effective solution. Changed manual deployments to automation using CI/CD providing additional security to the application code. By leveraging CI/CD improved software development and delivery processes and collaboration.","EC2, Transit Gateway, Security Hub, Control Tower, AWS WAF, Network Firewall"
Day 1 load conditions Total Processing,EMEA,"Healthcare, Pharma & Life Sciences (HPL)",Infra Modernization,Setting up Scalable Infra Under Strict Timeline & COVID,Leverage GKE autoscaling to set up scalable and reliable managed infra for millions of daily unique visitors during Covid,Leverage GKE autoscaling to set up scalable and reliable managed infra for millions of daily unique visitors during Covid,Build a platform for Covid-19 Antigen E-Commerce site with anticipated Day 1 traffic of 4mn unique visitors Aggressive timelines driven by urgency of the ongoing pandemic Deployed mission critical application on GKE to leverage it's autoscaling capabilities without management overhead Application layer communicates with the Cloud SQL & Memorystore( caching layer) in the backend Implemented scaled infrastructure in 3 weeks end-to-end,Successful Day 1 launch with site performing without any issues under Day 1 load conditions Total Processing is now setup with scaled and optimised infrastructure to increase capacity on demand in TP and Searce now engaged with subsequent project to migrate existing Payment Gateway to GCP,
